reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49.0,60.0,89.0,35,5,3,t,2.7810048749961425,None,3,5,35,4,107.59182616701582,,107.58506158401724,107.59182616701582,108.57660337499692,108.57660337499692,108.58040062501095,111.36134000000311,t,2.7810048749961425,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
15.0,35.0,13.0,36,6,3,l,1.0866263750067446,None,3,6,36,1,111.37478745900444,,111.36760433402378,111.37478745900444,112.35991975001525,112.35991975001525,112.36369508400094,113.4492762919981,l,1.0866263750067446,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
50.0,69.0,49.0,37,7,3,t,1.7988342489989009,None,3,7,37,9,113.46298937502434,,113.45671091700206,113.46298937502434,114.4476175000018,114.4476175000018,114.4600293750118,116.24828741702368,t,1.7988342489989009,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
9.0,18.0,12.0,38,8,3,l,1.3304834569862578,None,3,8,38,8,116.26255120901624,,116.25427104200935,116.26255120901624,117.24890862501343,117.24890862501343,117.25985833400046,118.58187424999778,l,1.3304834569862578,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
67.0,75.0,119.0,39,9,3,l,1.9153587910113856,None,3,9,39,5,118.5962182090152,,118.58826150000095,118.5962182090152,119.58101270900806,119.58101270900806,119.59321266700863,121.49878041702323,l,1.9153587910113856,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
40.0,55.0,62.0,40,0,4,l,5.901155873987591,None,4,0,40,3,121.51265912500094,,121.50506833402324,121.51265912500094,122.49316825001733,122.49316825001733,122.51001025000005,128.39845091701136,l,5.901155873987591,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
49.0,60.0,89.0,41,1,4,l,1.4647602909826674,None,4,1,41,4,128.4140337500139,,128.40511925000465,128.4140337500139,129.39812458399683,129.39812458399683,129.40990362499724,130.8650783339981,l,1.4647602909826674,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
78.0,80.0,162.0,42,2,4,t,1.5167098329984583,None,4,2,42,6,130.8796566670062,,130.87268250001944,130.8796566670062,131.86001429200405,131.86001429200405,131.87663574999897,133.37855179200415,t,1.5167098329984583,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
9.0,18.0,12.0,43,3,4,l,1.4331664159835782,None,4,3,43,8,133.3921077499981,,133.38499758401304,133.3921077499981,134.37659962501493,134.37659962501493,134.38049395900453,135.8117362089979,l,1.4331664159835782,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
27.0,50.0,21.0,44,4,4,l,1.400622373999795,None,4,4,44,2,135.82589274999918,,135.81832079202286,135.82589274999918,136.8101202500111,136.8101202500111,136.81454362501972,138.2149955840141,l,1.400622373999795,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
90.0,101.0,190.0,45,5,4,l,1.9948620829964057,None,4,5,45,7,138.2433520000195,,138.22117266702116,138.2433520000195,139.20984429202508,139.20984429202508,139.2302195840166,141.2117558340251,l,1.9948620829964057,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
67.0,75.0,119.0,46,6,4,l,2.182696332980413,None,4,6,46,5,141.22803304201807,,141.2188905000221,141.22803304201807,142.20992750002188,142.20992750002188,142.22658004201367,144.39489795902045,l,2.182696332980413,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
15.0,35.0,13.0,47,7,4,l,2.001302791002672,None,4,7,47,1,144.41131462500198,,144.40271745901555,144.41131462500198,145.3932419590128,145.3932419590128,145.4100739590067,147.39898687502136,l,2.001302791002672,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
50.0,69.0,49.0,48,8,4,t,1.3964890830102377,None,4,8,48,9,147.41290437499993,,147.40532950000488,147.41290437499993,148.39698962500552,148.39698962500552,148.40991637500701,149.79869733401574,t,1.3964890830102377,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
