stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
63,5,6.0,75.62748987500527,,75.62326420799945,75.62748987500527,76.12127129200235,76.12127129200235,76.12127129200235,76.40812612500304,76.80901033300324,left,-6.0,1,1,0.6840440000014496,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
64,5,6.0,76.82124537500204,,76.8092813750045,76.82124537500204,77.30462729200372,77.30462729200372,77.30462729200372,77.59111625000514,77.85603154200362,left,-6.0,1,1,0.5435872079979163,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
65,5,6.0,77.86299941700418,,77.85632804200577,77.86299941700418,78.3546215000024,78.3546215000024,78.3546215000024,78.64176833300007,78.95654158300022,right,6.0,1,1,0.5925374590005958,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
66,5,1.0,78.96391408300406,,78.9569771250026,78.96391408300406,79.45451770799991,79.45451770799991,79.45451770799991,79.74145729200245,80.19013333300245,left,-1.0,1,1,0.7287466249981662,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
67,5,1.0,80.19766262500343,,80.19049695799913,80.19766262500343,80.6879021670029,80.6879021670029,80.6879021670029,80.9748189170059,81.45637145799992,left,-1.0,1,1,0.7562742090012762,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
68,5,1.0,81.46380316700379,,81.45671750000474,81.46380316700379,81.95472933300334,81.95472933300334,81.95472933300334,82.24148787500599,82.7402696249992,left,-1.0,1,1,0.7744335840034182,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
69,5,1.0,82.74722666700109,,82.74074941700383,82.74722666700109,83.23808345800353,83.23808345800353,83.23808345800353,83.52514412500022,84.12358558300184,left,-1.0,1,1,0.8739155420043971,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
70,5,1.0,84.13121041699924,,84.12406133300101,84.13121041699924,84.62144804200216,84.62144804200216,84.62144804200216,84.90801054199983,85.62342016700131,right,1.0,1,1,0.9966652500006603,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
71,5,1.0,85.62812370800384,,85.62394470800064,85.62812370800384,86.12118833300337,86.12118833300337,86.12118833300337,86.40861495800345,86.98950875000446,left,-1.0,0,0,0.8658992499986198,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
72,5,6.0,86.99410762500338,,86.98988858300436,86.99410762500338,87.48773749999964,87.48773749999964,87.48773749999964,87.77498025000386,88.5564145419994,left,-6.0,0,0,1.0542050840012962,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
73,5,11.0,88.56360787500307,,88.55682179200085,88.56360787500307,89.05464850000135,89.05464850000135,89.05464850000135,89.34132070800115,89.87360220800474,right,11.0,0,0,0.8032511669953237,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
74,5,16.0,89.88065066700074,,89.87412220799888,89.88065066700074,90.37133924999944,90.37133924999944,90.37133924999944,90.65788670800248,91.20638670799963,right,16.0,1,1,0.8215849580010399,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
