delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.7,400.0,unexp,23,11,1,space,0.29576720896875486,None,400,1,[2.448005332960747],[2.4480087079573423],1,11,23,2,102.83788224996533,,102.83574229199439,102.83788224996533,103.82401458401,103.82401458401,103.83656500000507,104.12210325000342,space,0.29576720896875486,None,104.12341854197439,0.7003316670306958,1.0016606249846518,105.12697970896261,105.12854312499985,105.14460587495705,105.14460587495705,105.14460587495705,107.59280620899517,400,1,[2.448005332960747],[2.4480087079573423],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.7,1000.0,exp,24,0,2,space,0.5035843750229105,None,600,1,[1.0059914999874309],[1.006000832945574],2,0,24,8,107.60180483397562,,107.59293533395976,107.60180483397562,108.5900700839702,108.5900700839702,108.5900700839702,109.10533870896325,space,0.5035843750229105,None,109.10659604199464,0.7015427919686772,1.0009004169842228,110.1109667919809,110.11291424999945,110.1301817089552,110.1301817089552,110.1301817089552,111.13677062495844,600,1,[1.0059914999874309],[1.006000832945574],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.4,1000.0,exp,25,1,2,space,0.5745658329688013,None,900 ,1,[2.810449291020632],[2.8104526250390336],2,1,25,10,111.13908412499586,,111.13708183396375,111.13908412499586,112.12594245898072,112.12594245898072,112.1364759170101,112.70540874998551,space,0.5745658329688013,None,112.70729533396661,0.40124179201666266,0.7011969999875873,113.41123649996007,113.41255679196911,113.42923758400138,113.42923758400138,113.42923758400138,116.23986533400603,900 ,1,[2.810449291020632],[2.8104526250390336],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.1,400.0,unexp,26,2,2,space,0.4869009589892812,None,400,1,[1.1671299579902552],[1.1671327909571119],2,2,26,0,116.25175887497608,,116.23999066697434,116.25175887497608,117.23645895899972,117.23645895899972,117.24054233398056,117.72473058395553,space,0.4869009589892812,None,117.72599012497813,0.11181470798328519,0.4116595829837024,118.14105116698192,118.14246549998643,118.1590113749844,118.1590113749844,118.1590113749844,119.32632054196438,400,1,[1.1671299579902552],[1.1671327909571119],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.4,1000.0,exp,27,3,2,space,0.5258392090327106,None,400,1,[7.263716542045586],[7.263719458016567],2,3,27,4,119.3351205419749,,119.326455041999,119.3351205419749,120.32360808399972,120.32360808399972,120.32360808399972,120.85558500001207,space,0.5258392090327106,None,120.85713133396348,0.40114462503697723,0.701140875054989,121.56137133395532,121.56266895896988,121.57869175000815,121.57869175000815,121.57869175000815,128.84258995897835,400,1,[7.263716542045586],[7.263719458016567],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.7,1000.0,exp,28,4,2,space,0.07761899998877198,None,400,1,[5.425305749988183],[5.425308624980971],2,4,28,5,128.8519156249822,,128.8427281669574,128.8519156249822,129.84177245898172,129.84177245898172,129.84177245898172,129.92146820900962,space,0.07761899998877198,None,129.92266599996947,0.7012152089737356,1.0018317499780096,130.92732954199892,130.92860462499084,130.9434369999799,130.9434369999799,130.9434369999799,136.36891762499,400,1,[5.425305749988183],[5.425308624980971],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.4,400.0,unexp,29,5,2,space,0.3323940840200521,None,600,1,[1.7096922919736244],[1.709695334022399],2,5,29,1,136.372272958979,,136.369048249966,136.372272958979,137.3568351669819,137.3568351669819,137.36978929198813,137.69130670896266,space,0.3323940840200521,None,137.69249533396214,0.41169474995695055,0.7115973749896511,138.4073738749721,138.40883704199223,138.42572016699705,138.42572016699705,138.42572016699705,140.13559016695945,600,1,[1.7096922919736244],[1.709695334022399],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.4,1000.0,exp,30,6,2,space,0.5209064169903286,None,700,1,[2.512421874969732],[2.512424540997017],2,6,30,7,140.13848429196514,,140.13571933400817,140.13848429196514,141.12471649999497,141.12471649999497,141.1365661249729,141.65447079198202,space,0.5209064169903286,None,141.65575824998086,0.40120974997989833,0.7022883329773322,142.36028054199414,142.36152749997564,142.37701416696655,142.37701416696655,142.37701416696655,144.88963474996854,700,1,[2.512421874969732],[2.512424540997017],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.1,1000.0,exp,31,7,2,space,0.15883154096081853,None,100,1,[1.523623791988939],[1.5236266669817269],2,7,31,9,144.9022194169811,,144.88976049999474,144.9022194169811,145.88633533398388,145.88633533398388,145.89107183396118,146.05528479197528,space,0.15883154096081853,None,146.0566990840016,0.10192429198650643,0.40171912498772144,146.4616313339793,146.462877791957,146.47822383395396,146.47822383395396,146.47822383395396,148.00204641697928,100,1,[1.523623791988939],[1.5236266669817269],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.1,1000.0,exp,32,8,2,space,0.3015606669941917,None,400,1,[1.2589695419883355],[1.2589725839789025],2,8,32,6,148.00471791700693,,148.0021678750054,148.00471791700693,148.99045616696822,148.99045616696822,149.00320791697595,149.3034538750071,space,0.3015606669941917,None,149.3052236670046,0.09962300001643598,0.39973762503359467,149.70776650001062,149.70954991696635,149.7261394590023,149.7261394590023,149.7261394590023,150.9852864999557,400,1,[1.2589695419883355],[1.2589725839789025],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
